Entity,Code,Year,gdp_per_capita,tertiary_education,youth_unemployment,life_expectancy
Netherlands,NLD,2023,70198.93,,8.272,82.1576
New Caledonia,NCL,2023,,,31.752,78.7658
New Zealand,NZL,2023,49508.27,76.38114,10.714,82.088
Nicaragua,NIC,2023,7496.5293,30.36351,9.203,74.9468
Niger,NER,2023,1689.5642,,0.398,61.1833
Nigeria,NGA,2023,7843.8345,,5.131,54.4623
Niue,NIU,2023,,,,69.9778
North America (WB),WB_NA,2023,72394.125,79.1688,8.227036,
North Korea,PRK,2023,,,7.577,73.6418
North Macedonia,MKD,2023,22317.725,,29.685,77.3947
Northern Mariana Islands,MNP,2023,,,,78.8075
Norway,NOR,2023,90085.44,95.05738,10.975,83.3078
Oman,OMN,2023,37793.617,,13.594,80.0305
Pakistan,PAK,2023,5418.7695,11.2245,9.423,67.649
Palau,PLW,2023,16425.973,41.130604,,69.269
Palestine,PSE,2023,5361.131,44.49046,,65.1703
Panama,PAN,2023,35872.95,,16.765,79.5937
Papua New Guinea,PNG,2023,4205.8477,,3.792,66.134
Paraguay,PRY,2023,15826.088,,13.185,73.8443
Peru,PER,2023,15327.582,,8.846,77.7401
Philippines,PHL,2023,9898.533,44.23942,6.912,69.8327
Poland,POL,2023,43672.766,76.87941,11.176,78.6329
Portugal,PRT,2023,41768.254,,20.463,82.3599
Puerto Rico,PRI,2023,42837.9,77.92636,13.178,81.6902
Qatar,QAT,2023,116563.99,,0.574,82.368
Reunion,REU,2023,,,,83.5472
Romania,ROU,2023,38171.207,55.16829,21.701,75.9381
Russia,RUS,2023,39887.34,93.72777,11.147,73.1541
Rwanda,RWA,2023,3062.999,8.88624,18.172,67.7852
Saint Barthelemy,BLM,2023,,,,84.2901
Saint Helena,SHN,2023,,,,76.7869
Saint Kitts and Nevis,KNA,2023,30616.578,,,72.1447
Saint Lucia,LCA,2023,23403.744,15.03964,30.261,72.6968
Saint Martin (French part),MAF,2023,,,,80.2238
Saint Pierre and Miquelon,SPM,2023,,,,76.7578
Saint Vincent and the Grenadines,VCT,2023,17858.244,,42.333,71.2301
Samoa,WSM,2023,7383.7456,14.61066,12.9,71.6982
San Marino,SMR,2023,70951.79,51.13573,,85.7062
Sao Tome and Principe,STP,2023,5541.302,,8.54,69.7182
Saudi Arabia,SAU,2023,64481.844,,13.474,78.7321
Senegal,SEN,2023,4304.7617,16.07101,3.859,68.6829
Serbia,SRB,2023,24487.047,73.206,24.129,76.7693
Seychelles,SYC,2023,28635.355,14.03414,,72.862
Sierra Leone,SLE,2023,3034.946,,3.484,61.7858
Singapore,SGP,2023,129555.24,,8.515,83.7362
Sint Maarten (Dutch part),SXM,2023,46571.09,7.65284,,76.371
Slovakia,SVK,2023,39518.223,53.41761,19.867,78.3414
Slovenia,SVN,2023,47977.426,80.08069,9.948,81.6034
Solomon Islands,SLB,2023,2339.575,,2.927,70.5277
Somalia,SOM,2023,1401.6473,,34.091,58.8158
South Africa,ZAF,2023,13695.376,,60.259,66.1387
South Asia (WB),WB_SA,2023,9169.174,29.04446,14.897052,
South Korea,KOR,2023,54029.344,,5.405,84.3288
South Sudan,SSD,2023,,,18.524,57.6174
Spain,ESP,2023,47322.594,93.73035,28.747,83.6703
Sri Lanka,LKA,2023,13024.94,26.411993,20.342,77.4828
Sub-Saharan Africa (WB),WB_SSA,2023,4810.216,,10.236653,
Sudan,SDN,2023,2181.079,,,66.331
Suriname,SUR,2023,19020.867,,24.982,73.631
Sweden,SWE,2023,62662.766,81.39982,21.941,83.2624
Switzerland,CHE,2023,82295.3,74.00609,7.865,83.9536
Syria,SYR,2023,,,32.26,72.1201
Taiwan,TWN,2023,,,,80.5588
Tajikistan,TJK,2023,4472.324,34.968964,14.511,71.7901
Tanzania,TZA,2023,3620.7935,5.168878,2.339,66.9953
Thailand,THA,2023,21191.453,46.17521,4.491,76.4115
Togo,TGO,2023,2842.2307,,3.395,62.7387
Tokelau,TKL,2023,,,,77.0512
Tonga,TON,2023,7030.419,51.21951,4.632,72.8947
Trinidad and Tobago,TTO,2023,31196.604,,8.041,73.4896
Tunisia,TUN,2023,12650.962,38.12195,38.484,76.5077
Turkey,TUR,2023,35069.17,,17.306,77.1557
Turkmenistan,TKM,2023,17866.404,18.80842,9.198,70.0727
Turks and Caicos Islands,TCA,2023,31839.371,,,78.0077
Tuvalu,TUV,2023,5812.3994,0.0,,67.1049
Uganda,UGA,2023,2791.0557,,4.208,68.2523
Ukraine,UKR,2023,15916.958,,,73.4225
United Arab Emirates,ARE,2023,70239.85,61.34561,6.351,82.9091
United Kingdom,GBR,2023,52592.684,,11.944,81.3015
United States,USA,2023,74158.72,,7.953,79.3043
United States Virgin Islands,VIR,2023,,,23.588,75.4724
Uruguay,URY,2023,31059.254,,26.221,78.1385
Uzbekistan,UZB,2023,10007.686,45.75918,10.762,72.3884
Vanuatu,VUT,2023,3214.7024,,11.489,71.4769
Vatican,VAT,2023,,,,82.9848
Venezuela,VEN,2023,,,10.274,72.5142
Vietnam,VNM,2023,13545.935,,6.441,74.5883
Wallis and Futuna,WLF,2023,,,,78.6286
Western Sahara,ESH,2023,,,,71.385
Yemen,YEM,2023,,,32.104,69.2952
Zambia,ZMB,2023,3673.4841,,10.038,66.3487
Zimbabwe,ZWE,2023,5218.0225,,15.332,62.7748
